Ano;Distrito;Inscritos;Votantes;Brancos;Nulos;Partido;Votos;Mandatos;Percentual;Abstenção;Inscritos_totais;abstenção_totais;Sondagem;Cor
Histórico;Lisboa;1913096,0;1270600,0;31230,0;16867,0;PS;370407,0;15,0;0,2915;0,3107;10850615;0,44;0,0;#F1515E
Histórico;Lisboa;1913096,0;1270600,0;31230,0;16867,0;AD;339230,0;13,0;0,267;0,3107;10850615;0,44;0,0;#FF890C
Histórico;Lisboa;1913096,0;1270600,0;31230,0;16867,0;CH;158214,0;6,0;0,1245;0,3107;10850615;0,44;0,0;#202056
Histórico;Lisboa;1913096,0;1270600,0;31230,0;16867,0;BE;112030,0;4,0;0,0882;0,3107;10850615;0,44;0,0;#AB1983
Histórico;Lisboa;1913096,0;1270600,0;31230,0;16867,0;CDU;109005,0;4,0;0,0858;0,3107;10850615;0,44;0,0;#950B0B
Histórico;Lisboa;1913096,0;1270600,0;31230,0;16867,0;IL;59912,0;2,0;0,0472;0,3107;10850615;0,44;0,0;#00AEEF
Histórico;Lisboa;1913096,0;1270600,0;31230,0;16867,0;L;51885,0;2,0;0,0408;0,3107;10850615;0,44;0,0;#00AB39
Histórico;Lisboa;1913096,0;1270600,0;31230,0;16867,0;PAN;34551,0;1,0;0,027200000000000002;0,3107;10850615;0,44;0,0;#01796F
Histórico;Lisboa;1913096,0;1270600,0;31230,0;16867,0;Outros;34435,0;1,0;0,0271;0,3107;10850615;0,44;0,0;#ebedf0
Histórico;Lisboa;1913096,0;1270600,0;31230,0;16867,0;JPP;931,0;0,0;0,0007000000000000001;0,3107;10850615;0,44;0,0;#009285
Histórico;Porto;1591445,0;1022471,0;24736,0;15083,0;PS;309995,0;13,0;0,3032;0,3325;10850615;0,44;0,0;#F1515E
Histórico;Porto;1591445,0;1022471,0;24736,0;15083,0;AD;308710,0;13,0;0,3019;0,3325;10850615;0,44;0,0;#FF890C
Histórico;Porto;1591445,0;1022471,0;24736,0;15083,0;CH;112465,0;4,0;0,11;0,3325;10850615;0,44;0,0;#202056
Histórico;Porto;1591445,0;1022471,0;24736,0;15083,0;BE;88033,0;3,0;0,0861;0,3325;10850615;0,44;0,0;#AB1983
Histórico;Porto;1591445,0;1022471,0;24736,0;15083,0;CDU;61425,0;2,0;0,0601;0,3325;10850615;0,44;0,0;#950B0B
Histórico;Porto;1591445,0;1022471,0;24736,0;15083,0;IL;55194,0;2,0;0,054000000000000006;0,3325;10850615;0,44;0,0;#00AEEF
Histórico;Porto;1591445,0;1022471,0;24736,0;15083,0;Outros;30070,0;1,0;0,0294;0,3325;10850615;0,44;0,0;#ebedf0
Histórico;Porto;1591445,0;1022471,0;24736,0;15083,0;PAN;28091,0;1,0;0,0275;0,3325;10850615;0,44;0,0;#01796F
Histórico;Porto;1591445,0;1022471,0;24736,0;15083,0;L;26311,0;1,0;0,025699999999999997;0,3325;10850615;0,44;0,0;#00AB39
Histórico;Porto;1591445,0;1022471,0;24736,0;15083,0;JPP;2176,0;0,0;0,0021;0,3325;10850615;0,44;0,0;#009285
Histórico;Açores;230305,0;95394,0;3926,0;1554,0;AD;34492,0;2,0;0,3616;0,562;10850615;0,44;0,0;#FF890C
Histórico;Açores;230305,0;95394,0;3926,0;1554,0;PS;30846,0;2,0;0,3234;0,562;10850615;0,44;0,0;#F1515E
