Ano;Distrito;Inscritos;Votantes;Brancos;Nulos;Partido;Votos;Mandatos;Percentual;Abstenção
2019;Açores;228946;83561;3926;1350;AD;29690;2;0.36;0.635018738
2019;Aveiro;645650;352093;10596;6243;AD;138625;7;0.39;0.454668938
2019;Beja;122987;64268;1378;1083;AD;10131;0;0.16;0.477440705
2019;Braga;778174;465674;14540;7960;AD;178323;9;0.38;0.401581137
2019;Bragança;141557;63531;1305;1392;AD;28850;2;0.45;0.551198457
2019;Castelo Branco;170075;93695;2250;2216;AD;28339;1;0.3;0.449095987
2019;Coimbra;380004;203931;6910;3755;AD;61633;3;0.3;0.463345123
2019;Europa;895509;108446;1665;27293;AD;23690;1;0.22;0.878900156
2019;Évora;136694;74018;1691;1032;AD;15582;0;0.21;0.458513175
2019;Faro;360169;165377;4717;2860;AD;43730;3;0.26;0.540834997
2019;Fora da Europa;569128;49908;429;8664;AD;18962;1;0.38;0.912307952
2019;Guarda;151535;76649;2030;2041;AD;30252;1;0.39;0.494182862
2019;Leiria;406906;218996;8000;4995;AD;85404;5;0.39;0.461801989
2019;Lisboa;1917369;1099254;23683;15998;AD;298823;14;0.27;0.426686256
2019;Madeira;257902;129920;688;2301;AD;56360;3;0.43;0.496242759
2019;Portalegre;95223;51602;1206;996;AD;12335;0;0.24;0.458093108
2019;Porto;1593888;934762;21225;15083;AD;323321;16;0.35;0.413533448
2019;Santarém;380900;206907;6021;3997;AD;62406;3;0.3;0.456794434
2019;Setúbal;736583;395099;8184;6031;AD;69283;3;0.18;0.463605595
2019; Totais;10777258;5237484;131302;123573;AD;1683766;84;0.32;0.514024439
2019;Viana do Castelo;240917;121913;3617;2174;AD;48991;3;0.4;0.493962651
2019;Vila Real;219081;100236;2246;2416;AD;43844;3;0.44;0.542470593
2019;Viseu;348061;177644;4995;3693;AD;75192;4;0.42;0.489618199
2022;Açores;229022;83737;2090;873;AD;28330;2;0.34;0.63437137
2022;Aveiro;642623;364875;4743;3425;AD;139216;7;0.38;0.432209865
2022;Beja;120204;67520;763;634;AD;11282;0;0.17;0.438288243
2022;Braga;776543;494529;6158;3846;AD;180237;8;0.36;0.363165981
2022;Bragança;137572;65738;567;795;AD;27865;1;0.42;0.522155671
2022;Castelo Branco;166269;95738;1117;1126;AD;27742;1;0.29;0.424198137
2022;Coimbra;374935;215103;3120;2329;AD;66048;3;0.31;0.426292557
2022;Europa;926205;110182;711;33565;AD;17560;0;0.16;0.881039295
2022;Évora;134828;78957;842;552;AD;17801;1;0.23;0.414387219
2022;Faro;380371;194952;2598;1760;AD;49590;3;0.25;0.487468813
2022;Fora da Europa;594324;64534;568;1907;AD;25321;1;0.39;0.89141613
2022;Guarda;146041;77246;782;936;AD;27598;1;0.36;0.471066344
2022;Leiria;413063;235828;3801;2690;AD;86661;4;0.37;0.429074984
2022;Lisboa;1919958;1181861;11918;8820;AD;305204;13;0.26;0.38443393
2022;Madeira;254784;127120;781;2312;AD;50896;0;0.4;0.501067571
2022;Portalegre;94374;53522;601;456;AD;13068;0;0.24;0.432873461
2022;Porto;1589053;984837;10015;8122;AD;332743;14;0.34;0.380236531
2022;Santarém;378006;218193;2773;2060;AD;62668;3;0.29;0.422779004
2022;Setúbal;745594;433260;4415;3379;AD;74830;3;0.17;0.418906268
2022; Totais;10813246;5564539;63103;83721;AD;1707822;74;0.31;0.48539606
2022;Viana do Castelo;236042;127040;1654;1156;AD;47691;3;0.38;0.461790698
2022;Vila Real;213093;105308;943;1080;AD;43793;2;0.42;0.505812016
2022;Viseu;340342;184459;2143;1898;AD;71678;4;0.39;0.458018699
2024;Açores;230082;106277;2621;1056;AD;42352;2;0.4;0.538090768
2024;Aveiro;642086;423734;7030;4528;AD;148861;7;0.35;0.340066595
2024;Beja;119102;76994;1172;935;AD;12890;1;0.17;0.3535457
2024;Braga;780164;556358;9590;5162;AD;184493;8;0.33;0.286870453
2024;Bragança;134213;72664;892;966;AD;29069;2;0.4;0.45859194
2024;Castelo Branco;163578;108260;1530;1447;AD;30812;1;0.28;0.33817506
2024;Coimbra;371769;242140;4797;2558;AD;74040;3;0.31;0.348681574
2024;Europa;937311;238605;1381;94261;AD;33351;0;0.14;0.74543668
2024;Évora;133400;89387;1252;791;AD;20051;1;0.22;0.329932534
2024;Faro;381108;235351;3401;2650;AD;52681;3;0.22;0.382455892
2024;Fora da Europa;609436;98360;487;31980;AD;22470;1;0.23;0.838604874
2024;Guarda;141065;85034;1163;1290;AD;29013;1;0.34;0.397199872
2024;Leiria;412184;273579;5094;3507;AD;96231;5;0.35;0.336269724
2024;Lisboa;1915287;1319561;15712;13568;AD;356973;14;0.27;0.311037458
2024;Madeira;254502;149808;794;2703;AD;53440;3;0.36;0.411368084
2024;Portalegre;93106;60668;925;614;AD;14134;0;0.23;0.348398599
2024;Porto;1591760;1114945;14407;10964;AD;339142;14;0.3;0.299552068
2024;Santarém;377261;251061;3868;2815;AD;68519;3;0.27;0.334516422
2024;Setúbal;749090;502601;6253;4945;AD;86320;4;0.17;0.329051249
2024; Totais;10813643;6476952;89847;192396;AD;1867442;80;0.29;0.401038854
2024;Viana do Castelo;233491;142917;2682;1534;AD;49616;2;0.35;0.387912168
2024;Vila Real;207989;117058;1494;1527;AD;46046;2;0.39;0.43719139
2024;Viseu;335659;211590;3302;2595;AD;76938;3;0.36;0.369628105
2019;Açores;228946;83561;3926;1350;BE;6662;0;0.08;0.635018738
2019;Aveiro;645650;352093;10596;6243;BE;35074;2;0.1;0.454668938
2019;Beja;122987;64268;1378;1083;BE;5833;0;0.09;0.477440705
2019;Braga;778174;465674;14540;7960;BE;41357;2;0.09;0.401581137
2019;Bragança;141557;63531;1305;1392;BE;3835;0;0.06;0.551198457
2019;Castelo Branco;170075;93695;2250;2216;BE;10353;0;0.11;0.449095987
2019;Coimbra;380004;203931;6910;3755;BE;22805;1;0.11;0.463345123
2019;Europa;895509;108446;1665;27293;BE;6106;0;0.06;0.878900156
2019;Évora;136694;74018;1691;1032;BE;6624;0;0.09;0.458513175
2019;Faro;360169;165377;4717;2860;BE;20241;1;0.12;0.540834997
2019;Fora da Europa;569128;49908;429;8664;BE;1398;0;0.03;0.912307952
2019;Guarda;151535;76649;2030;2041;BE;5990;0;0.08;0.494182862
2019;Leiria;406906;218996;8000;4995;BE;20572;1;0.09;0.461801989
2019;Lisboa;1917369;1099254;23683;15998;BE;106793;5;0.1;0.426686256
2019;Madeira;257902;129920;688;2301;BE;6810;0;0.05;0.496242759
2019;Portalegre;95223;51602;1206;996;BE;4165;0;0.08;0.458093108
2019;Porto;1593888;934762;21225;15083;BE;94646;4;0.1;0.413533448
2019;Santarém;380900;206907;6021;3997;BE;21141;1;0.1;0.456794434
2019;Setúbal;736583;395099;8184;6031;BE;47795;2;0.12;0.463605595
2019; Totais;10777258;5237484;131302;123573;BE;498549;19;0.1;0.514024439
2019;Viana do Castelo;240917;121913;3617;2174;BE;10321;0;0.08;0.493962651
2019;Vila Real;219081;100236;2246;2416;BE;6071;0;0.06;0.542470593
2019;Viseu;348061;177644;4995;3693;BE;13957;0;0.08;0.489618199
2022;Açores;229022;83737;2090;873;BE;3613;0;0.04;0.63437137
2022;Aveiro;642623;364875;4743;3425;BE;16706;0;0.05;0.432209865
2022;Beja;120204;67520;763;634;BE;2511;0;0.04;0.438288243
2022;Braga;776543;494529;6158;3846;BE;18550;0;0.04;0.363165981
2022;Bragança;137572;65738;567;795;BE;1370;0;0.02;0.522155671
2022;Castelo Branco;166269;95738;1117;1126;BE;4069;0;0.04;0.424198137
2022;Coimbra;374935;215103;3120;2329;BE;10888;0;0.05;0.426292557
2022;Europa;926205;110182;711;33565;BE;2647;0;0.02;0.881039295
2022;Évora;134828;78957;842;552;BE;2629;0;0.03;0.414387219
2022;Faro;380371;194952;2598;1760;BE;11209;0;0.06;0.487468813
2022;Fora da Europa;594324;64534;568;1907;BE;1699;0;0.03;0.89141613
2022;Guarda;146041;77246;782;936;BE;2368;0;0.03;0.471066344
2022;Leiria;413063;235828;3801;2690;BE;10709;0;0.05;0.429074984
2022;Lisboa;1919958;1181861;11918;8820;BE;55802;2;0.05;0.38443393
2022;Madeira;254784;127120;781;2312;BE;4120;0;0.03;0.501067571
2022;Portalegre;94374;53522;601;456;BE;1550;0;0.03;0.432873461
2022;Porto;1589053;984837;10015;8122;BE;47134;2;0.05;0.380236531
2022;Santarém;378006;218193;2773;2060;BE;10011;0;0.05;0.422779004
2022;Setúbal;745594;433260;4415;3379;BE;24940;1;0.06;0.418906268
2022; Totais;10813246;5564539;63103;83721;BE;244603;5;0.04;0.48539606
2022;Viana do Castelo;236042;127040;1654;1156;BE;4418;0;0.03;0.461790698
2022;Vila Real;213093;105308;943;1080;BE;2442;0;0.02;0.505812016
2022;Viseu;340342;184459;2143;1898;BE;5218;0;0.03;0.458018699
2024;Açores;230082;106277;2621;1056;BE;3622;0;0.03;0.538090768
2024;Aveiro;642086;423734;7030;4528;BE;17383;0;0.04;0.340066595
2024;Beja;119102;76994;1172;935;BE;3393;0;0.04;0.3535457
